470
450,265,true
231,80,1,false,127,185
281,80,1,false,162,200
331,80,1,false,209,203
381,80,1,false,252,210
431,80,1,false,303,209
481,80,1,false,347,215
231,130,1,false,50,312
281,130,1,false,124,288
331,130,1,false,153,309
381,130,1,false,200,312
431,130,1,false,227,335
481,130,1,false,283,329
231,180,1,false,25,412
281,180,1,false,72,409
331,180,1,false,120,407
381,180,1,false,171,391
431,180,1,false,207,394
481,180,1,false,277,414
331,230,1,false,181,518
381,230,1,false,200,487
431,230,1,false,278,515
